MaPhim,TenPhim,TenPhimHienThi,TenGoc,TenPhimTiengAnh,TenPhimHienThiCuoi,TomTatNoiDung,TomTatNoiDungTiengAnh,CauGioiThieu,TrangThai,PhimNguoiLon,NgonNguGoc,TrangChu,MaIMDb,MaIMDbAPI,DuongDanPoster,DuongDanAnhNen,CanBoSungTenTiengAnh,DaBoSungTuAPI,NguonBoSung
460668,I Feel Pretty,I Feel Pretty,I Feel Pretty,,I Feel Pretty,A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.,,Change everything Without changing anything.,Released,False,en,http://www.ifeelpretty.movie/,tt6791096,,/rmP8b6vxbpK1sPinnUqXHKq0VkT.jpg,/7XM7kxa3U2g8TO3OGSiETCroNRD.jpg,False,False,
339967,Colossal,Colossal,Colossal,,Colossal,A woman discovers that severe catastrophic events are somehow connected to the mental breakdown from which she's suffering.,,There's a monster in all of us,Released,False,en,http://sheiscolossal.com,tt4680182,,/4VOyofBd1pexblxtDZYtYIk7NI4.jpg,/aQUsuDDHofPco5YgXxEdObyisCs.jpg,False,False,
458594,Peppermint,Peppermint,Peppermint,,Peppermint,"A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice.",,The system failed. She won't.,Released,False,en,https://www.peppermint.movie/,tt6850820,,/jrzxS0vcbzIIay1sdYm0rgI2QfJ.jpg,/wCZXqPget92sP8j03WPyldtQ90f.jpg,False,False,
431580,Abominable,Abominable,Abominable,,Abominable,"A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.",,Find your way home.,Released,False,en,https://www.dreamworks.com/movies/abominable,tt6324278,,/20djTLqppfBx5WYA67Y300S6aPD.jpg,/tLCDKsXo6D84IVFanoElosSEKdp.jpg,False,False,
437557,Blockers,Blockers,Blockers,,Blockers,"When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.",,Teens out to have fun. Parents out to stop it.,Released,False,en,https://www.uphe.com/movies/blockers,tt2531344,,/uvlUQXg0AlpGzKukO11K7QtW3Yu.jpg,/bStCGzVYFrKxtOyThKkqgI8gjgE.jpg,False,False,
10027,Unleashed,Unleashed,Unleashed,,Unleashed,"Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",,Serve No Master,Released,False,en,http://www.universalstudiosentertainment.com/unleashed/,tt0342258,,/eOmXfQgDLUndae2xnwJfV0JZ2JN.jpg,/z8ejhyO0hVXk4KVo1bi4HMFP3FS.jpg,False,False,
449924,Ip Man 4: The Finale,Ip Man 4: The Finale,葉問4,,Ip Man 4: The Finale,"Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son.",,,Released,False,cn,,tt2076298,,/b5cz6BoyHrgBnhfDHOW5hXRWbln.jpg,/jZDudPPIV4lSxEVgzfK9Z6nHdhi.jpg,False,False,
395458,Suburbicon,Suburbicon,Suburbicon,,Suburbicon,"In the quiet family town of Suburbicon during the 1950s, the best and worst of humanity is hilariously reflected through the deeds of seemingly ordinary people. When a home invasion turns deadly, a picture-perfect family turns to blackmail, revenge and murder.",,Welcome to the neighborhood,Released,False,en,https://www.paramountpictures.com/movies/suburbicon,tt0491175,,/a3IHgSwO5jWPLcGjKqbQ7pxVGkq.jpg,/dmgFJdivUmV4vGLkbPD49KVjlHx.jpg,False,False,
614696,#Alive,#Alive,#살아있다,,#Alive,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",,You must survive.,Released,False,ko,,tt10620868,,/zqf711LsnQ5CcW3rISFw2t7OYzb.jpg,/hWpVSEMWDvG49ezvpksnS5BSnvB.jpg,False,False,
365222,Ip Man 3,Ip Man 3,葉問3,,Ip Man 3,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",,"The legend continues, the grandmaster returns.",Released,False,cn,,tt2888046,,/RTt4lgyTDI8JHMGbZGDDbcZmkM.jpg,/19Shb0Xn0PeLXA4CkT2TIIvxaR6.jpg,False,False,
1729,The Forbidden Kingdom,The Forbidden Kingdom,The Forbidden Kingdom,,The Forbidden Kingdom,"An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior, the Monkey King. With the lost relic in hand, the teenager unexpectedly finds himself travelling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King.",,The battle for eternity is the fantasy of a lifetime.,Released,False,en,http://www.forbiddenkingdommovie.com/,tt0865556,,/mkrwLBAFHwLnQF8qdhCH0VOQqff.jpg,/omvtRhwBgwB8EWDjWMt95rDGPsv.jpg,False,False,
293670,The Wailing,The Wailing,곡성,,The Wailing,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,,Never be tempted.,Released,False,ko,,tt5215952,,/aXlL7yYwpXInhltamtzKQFBG08G.jpg,/hge97XAJgT6977lFTedreLPlZwh.jpg,False,False,
4550,Lady Vengeance,Lady Vengeance,친절한 금자씨,,Lady Vengeance,"Released after being wrongfully convicted and imprisoned for 13 years, a woman begins executing her elaborate plan of retribution.",,All she wanted was a peaceful life… they didn't give it.,Released,False,ko,,tt0451094,,/7F7Ozn0QpqkVvuv1kC2XpbuFvn9.jpg,/wP1nu98mgiSOyuPmMWdZ8109S9j.jpg,False,False,
9550,House of Flying Daggers,House of Flying Daggers,十面埋伏,,House of Flying Daggers,"In 9th century China, a corrupt government wages war against a rebel army called the Flying Daggers. A romantic warrior breaks a beautiful rebel out of prison to help her rejoin her fellows, but things are not what they seem.",,,Released,False,zh,,tt0385004,,/93feGsGiCtG5ymrRcErUgBsdo6v.jpg,/jea4adbYk407PhYK9uhWjihPYAv.jpg,False,False,
501907,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,,A Beautiful Day in the Neighborhood,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",,Neighbor. Icon. Friend.,Released,False,en,https://www.abeautifulday.movie/,tt3224458,,/p9vCAVhDK375XyobVcKqzqzsUHE.jpg,/cSJMk9Jar8SibFXL8JAF9p2fhKu.jpg,False,False,
491584,Burning,Burning,버닝,,Burning,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.,,The truth is all in your head.,Released,False,ko,https://www.burning-movie.com/,tt7282468,,/kXiF80o74fE9gf3Utf9moAI7ar0.jpg,/rENYZSx6HFME7YLbbY0qGYayL7F.jpg,False,False,
287948,The Transporter Refueled,The Transporter Refueled,The Transporter Refueled,,The Transporter Refueled,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",,He Delivers.,Released,False,en,http://www.thetransporterrefueled.com/,tt2938956,,/71kaQfdrMy0LHSeLRADsvlDGCgb.jpg,/mFK2bOh8uGGEtoAL24abyTq3Woc.jpg,False,False,
316152,Free State of Jones,Free State of Jones,Free State of Jones,,Free State of Jones,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.",,,Released,False,en,http://stxmovies.com/freestateofjones/,tt1124037,,/pKhJLNHu5Aw8BgxOJ90lCmg0j0f.jpg,/crVDxx9KgNW7Bm1wyXqBYpzG2TS.jpg,False,False,
522518,A Dog's Journey,A Dog's Journey,A Dog's Journey,,A Dog's Journey,A dog finds the meaning of his own existence through the lives of the humans he meets.,,Some friendships transcend lifetimes.,Released,False,en,https://www.adogsjourneymovie.com,tt8385474,,/wquJChp0NpoqthYdE3YjXNNxvVC.jpg,/i109vzdCkG7W3H9FxHmfpZjgh61.jpg,False,False,
1985,The Constant Gardener,The Constant Gardener,The Constant Gardener,,The Constant Gardener,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.",,Love. At any cost.,Released,False,en,,tt0387131,,/nkXq7V7mmJVbvwZGr3nxkHo7HkS.jpg,/ksT0nX66UpCVBdvXiXW1byaZtjo.jpg,False,False,
440471,Escape Plan 2: Hades,Escape Plan 2: Hades,Escape Plan 2: Hades,,Escape Plan 2: Hades,"Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, Ray must track him down with the help of some of his former friends.",,This isn't a prision. It's a machine.,Released,False,en,https://www.escapeplan2.movie/,tt6513656,,/A6tb8JNrie2qT8JC2tGqshayuck.jpg,/xIAaN3AQqaJiN5RJ0WsmBady8Hq.jpg,False,False,
30018,Mother,Mother,마더,,Mother,"A mother lives quietly with her son. One day, a girl is brutally killed, and the boy is charged with the murder. Now, it's his mother's mission to prove him innocent.",,She'll stop at nothing.,Released,False,ko,http://www.motherfilm.com,tt1216496,,/reAEOWk7UA14V1LMKWlK5pzsJui.jpg,/mnNkHbs2onvP54zND5c1Ah5Usaa.jpg,False,False,
565310,The Farewell,The Farewell,The Farewell,,The Farewell,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,,Based on an actual lie.,Released,False,en,https://a24films.com/films/the-farewell,tt8637428,,/7UrIarxfjxZC9YGj8H1ATKZMXVy.jpg,/5INPBiKVRsyp9kgHfsC0cTfvKFH.jpg,False,False,
4689,Sympathy for Mr. Vengeance,Sympathy for Mr. Vengeance,복수는 나의 것,,Sympathy for Mr. Vengeance,"A deaf man and his girlfriend resort to desperate measures in order to fund a kidney transplant for his sister. Things go horribly wrong, and the situation spirals rapidly into a cycle of violence and revenge.",,Revenge Was Never This Sweet,Released,False,ko,,tt0310775,,/uj42ubGbgVL65T10SvPVr0p9mJc.jpg,/b6elu2cz2Be9PqgX0MzggMCH4fk.jpg,False,False,
290751,Secret in Their Eyes,Secret in Their Eyes,Secret in Their Eyes,,Secret in Their Eyes,"A tight-knit team of FBI investigators, along with their District Attorney supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.",,The truth lies in the most unexpected places.,Released,False,en,http://secretintheireyes.movie/,tt1741273,,/gJl4iTxQlazkPCplGmSLGBUwqg9.jpg,/awiTvAC4TGLcdPK7UDXwTd5rjlB.jpg,False,False,
300681,Replicas,Replicas,Replicas,,Replicas,A scientist becomes obsessed with returning his family to normalcy after a terrible accident.,,Some humans are unstoppable,Released,False,en,https://replicasmovie.com,tt4154916,,/hhPBTAn9b4TYOxc1JYNsX4BFAlW.jpg,/daNHz1e67CWyNeXd5AHWVpCJSNm.jpg,False,False,
560050,Over the Moon,Over the Moon,Over the Moon,,Over the Moon,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",,Believing is Everything,Released,False,en,https://www.netflix.com/title/80214236,tt7488208,,/lG0TF0wj1n9p9CPy5xlIUIkF56a.jpg,/vwYI3vWEwFs40HfmSQzPcGMVYfD.jpg,False,False,
471506,Greta,Greta,Greta,,Greta,"A young woman returns a lonely widow’s lost purse, leading to an unlikely relationship between the two — until the young woman discovers the widow might not be all that she seems.",,Everyone needs a friend.,Released,False,en,http://focusfeatures.com/greta,tt2639336,,/9hBpFyJ3pGdupXbaC2L7nGvLMBn.jpg,/6CmaRROvzd0IURIUOz967ZG7ltb.jpg,False,False,
51608,The Man from Nowhere,The Man from Nowhere,아저씨,,The Man from Nowhere,"His only friend called him 'the man from nowhere'... Taesik, a former special agent becomes a loner after losing his wife in a miserable accident and lives a bitter life running a pawnshop. He only has a few customers and a friend named Somi, a little girl next door. As Taesik spends more and more time with Somi, he gets attached to her. Then Somi is kidnapped by a gang, and as Taesik tries to save Somi by becoming deeply associated with the gang his mysterious past is revealed.",,"Nothing to lose, nothing to compromise.",Released,False,ko,http://www.mannowhere.com/,tt1527788,,/ld19CFIo27t41JXSGZdaPMUGTxh.jpg,/gYyRqiy1tn56AfphA3FGmWJf63w.jpg,False,False,
13855,The Chaser,The Chaser,추격자,,The Chaser,"Joong-ho is a dirty detective turned pimp in financial trouble as several of his girls have recently disappeared without clearing their debts. While trying to track them down, he finds a clue that the vanished girls were all called up by the same client whom one of his girls is meeting with right now.",,"The hunter and the hunted, the ultimate chase begins.",Released,False,ko,,tt1190539,,/hy49xJiKN1nakkN1ZmKuOf6vQYR.jpg,/cR8pWXPAUnGMXPc7MO3RVWQovjx.jpg,False,False,
7549,Fearless,Fearless,霍元甲,,Fearless,"Huo Yuan Jia became the most famous martial arts fighter in all of China at the turn of the 20th Century. Huo faced personal tragedy but ultimately fought his way out of darkness, defining the true spirit of martial arts and also inspiring his nation. The son of a great fighter who didn't wish for his child to follow in his footsteps, Huo resolves to teach himself how to fight - and win.",,Mastering others is strength. Mastering yourself makes you fearless.,Released,False,zh,,tt0446059,,/yKJ7rjIwOa8XvACELo9eV8IvMPb.jpg,/1bKaYqiSKO0vNdYOwZBhVNesViq.jpg,False,False,
550205,Wish Dragon,Wish Dragon,Wish Dragon,,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,,Three magical wishes. One life changing adventure.,Released,False,en,,tt5562070,,/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg,/4kIRrW1AlHP5Idne8CPHeQt8nR5.jpg,False,False,
555974,Brahms: The Boy II,Brahms: The Boy II,Brahms: The Boy II,,Brahms: The Boy II,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",,He's made a friend.,Released,False,en,,tt9173418,,/tIpGQ9uuII7QVFF0GHCFTJFfXve.jpg,/jeiVmutYPZyQRSYk7OvyWENGIrA.jpg,False,False,
423899,Victoria & Abdul,Victoria & Abdul,Victoria & Abdul,,Victoria & Abdul,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,,History's most unlikely friendship.,Released,False,en,http://www.focusfeatures.com/victoriaandabdul/,tt5816682,,/a5vm7eBHLfBqaOMQUUAVxXmgmhA.jpg,/9as73Rj0Y7nMZBZTwoyjyUpfjyS.jpg,False,False,
200085,The Flu,The Flu,감기,,The Flu,"A case of the flu quickly morphs into a pandemic. As the death toll mounts and the living panic, the government plans extreme measures to contain it.",,Death goes viral.,Released,False,ko,,tt2351310,,/mvTXhTddHIZbOU9pmrcPODI1kRx.jpg,/uFwnUQ3ZwE5EbBEDBzs1bRPlOx8.jpg,False,False,
7979,The Kite Runner,The Kite Runner,The Kite Runner,,The Kite Runner,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",,There is a way to be good again.,Released,False,en,http://www.kiterunnermovie.com/,tt0419887,,/dom2esWWW8C9jS2v7dOhW48LwHh.jpg,/mN8L1gYgbLZW88jwj3ok2WO4UvE.jpg,False,False,
14202,The Painted Veil,The Painted Veil,The Painted Veil,,The Painted Veil,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",,Sometimes the greatest journey is the distance between two people.,Released,False,en,,tt0446755,,/k41IvHDLgZO2ae7RuU77wQjScIj.jpg,/j94REWD9CFfN8accJX572RoQUj9.jpg,False,False,
1280,3-Iron,3-Iron,빈집,,3-Iron,"A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him.",,Nothing is what it appears to be.,Released,False,ko,,tt0423866,,/q5uT2AEfN8uT4bhNovmYFA0e0mC.jpg,/nFtkNsd01rYZMQGyZJos2pagOHD.jpg,False,False,
4552,A Tale of Two Sisters,A Tale of Two Sisters,"장화, 홍련",,A Tale of Two Sisters,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house- all of which are connected to a dark past in the family's history.",,Our sorrow was conceived long before our birth.,Released,False,ko,,tt0365376,,/l3exwhwyGE0NnHJ3lFQ7eXoBSkH.jpg,/tM7uHa2Km5gSakooTQsZLwit3PK.jpg,False,False,
755812,"Miraculous World: New York, United HeroeZ","Miraculous World: New York, United HeroeZ","Miraculous World : New York, les héros unis",,"Miraculous World: New York, United HeroeZ",Teen Parisian superheroes Ladybug and Chat Noir visit New York on a field trip and discover that superheroes exist in the United States too.,,,Released,False,fr,https://www.disneyplus.com/movies/miraculous-world-new-york-united-heroez/6qITTDc66tyO,tt12816348,,/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,/adlZgxAudw3ZPA0HUcDzSTKrH8B.jpg,False,False,
441130,Wolfwalkers,Wolfwalkers,Wolfwalkers,,Wolfwalkers,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",,Be fierce. Be wild. Be free.,Released,False,en,http://wolfwalkersmovie.com/,tt5198068,,/ehAKuE48okTuonq6TpsNQj8vFTC.jpg,/yHtB4KHNigx3ZoxDvQbW2SOXGfq.jpg,False,False,
508763,A Dog's Way Home,A Dog's Way Home,A Dog's Way Home,,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",,A lot can happen between lost and found.,Released,False,en,http://www.adogswayhome.movie/,tt7616798,,/pZn87R7gtmMCGGO8KeaAfZDhXLg.jpg,/w7MsyOpP003FYhsiTgVHa3rNsrz.jpg,False,False,
308504,Last Knights,Last Knights,Last Knights,,Last Knights,"When an evil emperor executes their leader, his band of knights – bound by duty and honour – embarks on a journey of vengeance that will not come to an end until they've destroyed their mortal foe.",,,Released,False,en,,tt2493486,,/uGqlk7Hu8FRLVDcFZ16NxTy09ZE.jpg,/rdDcZHklNkHHApjcBd0qTK7YzJr.jpg,False,False,
322240,Nine Lives,Nine Lives,Nine Lives,,Nine Lives,A stuffy businessman finds himself trapped inside the body of his family's cat.,,His life just got put on paws.,Released,False,en,http://www.ninelivesmovie.com/,tt4383594,,/i457G22lL9t2yhEFdYz5Nd1M5DV.jpg,/5HnHEodzdN7thQRMfncWdle8ybD.jpg,False,False,
486589,Red Shoes and the Seven Dwarfs,Red Shoes and the Seven Dwarfs,레드슈즈,,Red Shoes and the Seven Dwarfs,"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy.",,Your true self is the fairest of them all,Released,False,en,,tt4429160,,/MBiKqTsouYqAACLYNDadsjhhC0.jpg,/nN4Gs3vZAOJ1D6FRtrwbU9VGYwU.jpg,False,False,
556694,Three Thousand Years of Longing,Three Thousand Years of Longing,Three Thousand Years of Longing,,Three Thousand Years of Longing,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.",,What would you wish for?,Released,False,en,https://www.mgm.com/movies/3000-years-of-longing,tt9198364,,/wdiUSKO0kebySOrHBVoDp7CLHIO.jpg,/90IcDDC47Rck4D2fyZbpZ1rbFZW.jpg,False,False,
113,"Spring, Summer, Fall, Winter... and Spring","Spring, Summer, Fall, Winter... and Spring",봄 여름 가을 겨울 그리고 봄,,"Spring, Summer, Fall, Winter... and Spring","An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",,"What you like, others will also like.",Released,False,ko,http://www.fruehling-sommer.de,tt0374546,,/6SQQ5REuAz7k0FMQ9mSCT40T2LN.jpg,/6JDjZdFckZyMYgtawDwUb6HTwVp.jpg,False,False,
412988,The Happytime Murders,The Happytime Murders,The Happytime Murders,,The Happytime Murders,"In a world where human beings and puppets live together, when the members of the cast of a children's television show aired during the 1990s begin to get murdered one by one, puppet Phil Philips, a former LAPD detective who fell in disgrace and turned into a private eye, takes on the case at the request of his old boss in order to assist detective Edwards, who was his partner in the past.",,No Sesame. All street.,Released,False,en,http://www.thehappytimemurders.movie/,tt1308728,,/rWxkur51srfVnMn2QOFjE7mbq6h.jpg,/gqemVzi13T4oB95EBufIxqafSCl.jpg,False,False,
271404,Beyond Skyline,Beyond Skyline,Beyond Skyline,,Beyond Skyline,"Detective Mark Corley storms his way onto an alien spaceship to rescue his estranged son. When the ship crashes in Southeast Asia, he forges an alliance with a band of survivors to take back the planet once and for all.",,,Released,False,en,,tt1724970,,/ktZvjFmwCLrMXtr1dl6o5PhhHS4.jpg,/m5jvdwlI24XpFDSX79o97z76jis.jpg,False,False,
488623,Forgotten,Forgotten,기억의 밤,,Forgotten,"Seoul, South Korea, 1997. When the young but extremely anxious student Jin-seok, his parents and his successful older brother Yoo-seok move to a new home, mysterious and frightening events begin to happen around them, unexplained events that threaten to ruin their seemingly happy lives. Unable to understand what is happening, Jin-seok wonders if he is losing his mind.",,Locked. Erased. Controlled. Isolated. Blurred.,Released,False,ko,http://mline-distribution.com/sub/film_010100.html?bmain=view&mode=&uid=283,tt7057496,,/cBgj41y1RvmW1zJCEX0uNWL0UjW.jpg,/wb1hz8m3snCBN1wdF3SZxrdKgRH.jpg,False,False,
581389,Space Sweepers,Space Sweepers,승리호,,Space Sweepers,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",,"2092, the space sweep begins!",Released,False,ko,https://www.netflix.com/title/81094067,tt12838766,,/bmemsraCG1kIthY74NjDnnLRT2Q.jpg,/drulhSX7P5TQlEMQZ3JoXKSDEfz.jpg,False,False,
705996,Decision to Leave,Decision to Leave,헤어질 결심,,Decision to Leave,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",,"The Closer You Look, The Harder You Fall.",Released,False,ko,,tt12477480,,/N0rskx91Eh6aWjvBybeY6epNic.jpg,/uUXgaOxPsr0jsBhGnkyIgw0g2ge.jpg,False,False,
227783,The Nut Job,The Nut Job,The Nut Job,,The Nut Job,"Surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. Lucky for him, he stumbles on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - Maury's Nut Store.",,Let's Get Nuts!,Released,False,en,,tt1821658,,/4iHnGlmOjAj2k5zUftYDIzSITCf.jpg,/i8m04vN53U9V5IKlGcNDoFCxavc.jpg,False,False,
397567,Along with the Gods: The Two Worlds,Along with the Gods: The Two Worlds,신과함께-죄와 벌,,Along with the Gods: The Two Worlds,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",,Fate continues even after death,Released,False,ko,,tt7160070,,/gJSvIsI6oQfFim0PGyuuiCYfqKs.jpg,/wyv2Y9vXYJwJzF6cNVuVwVOsOUj.jpg,False,False,
437068,A Taxi Driver,A Taxi Driver,택시운전사,,A Taxi Driver,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.",,"Based on true events, an untold story of a taxi driver.",Released,False,ko,,tt6878038,,/iXVaWbxmyPk4KZGZk5GGDGFieMX.jpg,/7PL3DCHgYapI8QKDVLfxToCHWkZ.jpg,False,False,
615904,Marry Me,Marry Me,Marry Me,,Marry Me,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",,Say yes.,Released,False,en,https://www.marryme.movie/,tt10223460,,/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg,/mJQf866IDnWw7ZkFEM2Oz7QfhW0.jpg,False,False,
666243,The Witcher: Nightmare of the Wolf,The Witcher: Nightmare of the Wolf,The Witcher: Nightmare of the Wolf,,The Witcher: Nightmare of the Wolf,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",,Face your demons.,Released,False,en,https://www.netflix.com/title/81037868,tt11657662,,/3sLz2yv6vBDWqBbd8rdnNeoJ2kJ.jpg,/orGlr1vHTgbDkGJPwuBjd8ncVjQ.jpg,False,False,
76544,Man of Tai Chi,Man of Tai Chi,Man of Tai Chi,,Man of Tai Chi,"In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices.",,No Rules. No Mercy. Pure Fighting.,Released,False,en,,tt2016940,,/wnuT1D0fsFu7chFLtcQqwPBaBVg.jpg,/vIy0knvAWbc4dMBG4wWDsAxOdNd.jpg,False,False,
22536,Thirst,Thirst,박쥐,,Thirst,"A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend.",,Lusting after sinful pleasures.,Released,False,ko,,tt0762073,,/sFgvkGpXLTydvHqBCXw54OB8R0h.jpg,/oNdO2VSonWIZFZNC7O4bkuFTNOh.jpg,False,False,
581528,"The Gangster, the Cop, the Devil","The Gangster, the Cop, the Devil",악인전,,"The Gangster, the Cop, the Devil","After barely surviving a violent attack by an elusive serial killer, crime boss Jang Dong-su finds himself forming an unlikely partnership with local detective Jung Tae-seok to catch the sadistic killer simply known as K.",,Don't let the devil win.,Released,False,ko,,tt10208198,,/oHlM4abRm6BzrRcz9Nup1uidw9H.jpg,/fI6X3Hd8KvtAuOKVdmxckdNzrx.jpg,False,False,
535167,The Wandering Earth,The Wandering Earth,流浪地球,,The Wandering Earth,"When the Sun begins to expand in such a way that it will inevitably engulf and destroy the Earth in a hundred years, united mankind finds a way to avoid extinction by propelling the planet out of the Solar System using gigantic engines, moving it to a new home located four light years away, an epic journey that will last thousands of years.",,,Released,False,zh,,tt7605074,,/woo56L6LYYoM89DYBCU2C6LO1at.jpg,/3jKynKnUtRERxBFAcvZ8AvkTo4c.jpg,False,False,
844,2046,2046,2046,,2046,Women enter and exit a science fiction author's life over the course of a few years after the author loses the woman he considers his one true love.,,Are you still in the mood for love?,Released,False,zh,http://www.sonyclassics.com/2046/main.html,tt0212712,,/jIN65qw0Giplo4CshzMrxz204Wn.jpg,/8ASGDbVRdK0UX71fV7oknkquS7k.jpg,False,False,
